"ID","Type","Description","Help","IconAtlas","PortraitIndex","TraitCategoryType","Unique","ScriptName"
19,"PERSONALITY_TRAIT_POLITICAL_TRADE_A","TXT_KEY_PERSONALITY_TRAIT_POLITICAL_TRADE_A","TXT_KEY_PERSONALITY_TRAIT_POLITICAL_TRADE_A_HELP","TRAITS_ATLAS",0,"PERSONALITY_TRAIT_CATEGORY_POLITICAL",0,"PersonalityTrait_Political_Trade"
20,"PERSONALITY_TRAIT_POLITICAL_COVERT_A","TXT_KEY_PERSONALITY_TRAIT_POLITICAL_COVERT_A","TXT_KEY_PERSONALITY_TRAIT_POLITICAL_COVERT_A_HELP","TRAITS_ATLAS",25,"PERSONALITY_TRAIT_CATEGORY_POLITICAL",0,"PersonalityTrait_Political_Covert"
21,"PERSONALITY_TRAIT_POLITICAL_ORBITAL_A","TXT_KEY_PERSONALITY_TRAIT_POLITICAL_ORBITAL_A","TXT_KEY_PERSONALITY_TRAIT_POLITICAL_ORBITAL_A_HELP","TRAITS_ATLAS",28,"PERSONALITY_TRAIT_CATEGORY_POLITICAL",0,"PersonalityTrait_Political_Orbital"
22,"PERSONALITY_TRAIT_DOMESTIC_GROWTH_A","TXT_KEY_PERSONALITY_TRAIT_DOMESTIC_GROWTH_A","TXT_KEY_PERSONALITY_TRAIT_DOMESTIC_GROWTH_A_HELP","TRAITS_ATLAS",2,"PERSONALITY_TRAIT_CATEGORY_DOMESTIC",0,"PersonalityTrait_Domestic_Growth"
23,"PERSONALITY_TRAIT_DOMESTIC_EXPAND_A","TXT_KEY_PERSONALITY_TRAIT_DOMESTIC_EXPAND_A","TXT_KEY_PERSONALITY_TRAIT_DOMESTIC_EXPAND_A_HELP","TRAITS_ATLAS",5,"PERSONALITY_TRAIT_CATEGORY_DOMESTIC",0,"PersonalityTrait_Domestic_Expand"
24,"PERSONALITY_TRAIT_DOMESTIC_INDUSTRY_A","TXT_KEY_PERSONALITY_TRAIT_DOMESTIC_INDUSTRY_A","TXT_KEY_PERSONALITY_TRAIT_DOMESTIC_INDUSTRY_A_HELP","TRAITS_ATLAS",8,"PERSONALITY_TRAIT_CATEGORY_DOMESTIC",0,"PersonalityTrait_Domestic_Industry"
25,"PERSONALITY_TRAIT_DOMESTIC_CULTURE_A","TXT_KEY_PERSONALITY_TRAIT_DOMESTIC_CULTURE_A","TXT_KEY_PERSONALITY_TRAIT_DOMESTIC_CULTURE_A_HELP","TRAITS_ATLAS",11,"PERSONALITY_TRAIT_CATEGORY_DOMESTIC",0,"PersonalityTrait_Domestic_Culture"
26,"PERSONALITY_TRAIT_DOMESTIC_SCIENCE_A","TXT_KEY_PERSONALITY_TRAIT_DOMESTIC_SCIENCE_A","TXT_KEY_PERSONALITY_TRAIT_DOMESTIC_SCIENCE_A_HELP","TRAITS_ATLAS",14,"PERSONALITY_TRAIT_CATEGORY_DOMESTIC",0,"PersonalityTrait_Domestic_Science"
27,"PERSONALITY_TRAIT_DOMESTIC_WEALTH_A","TXT_KEY_PERSONALITY_TRAIT_DOMESTIC_WEALTH_A","TXT_KEY_PERSONALITY_TRAIT_DOMESTIC_WEALTH_A_HELP","TRAITS_ATLAS",17,"PERSONALITY_TRAIT_CATEGORY_DOMESTIC",0,"PersonalityTrait_Domestic_Wealth"
28,"PERSONALITY_TRAIT_DOMESTIC_COMBAT_A","TXT_KEY_PERSONALITY_TRAIT_DOMESTIC_COMBAT_A","TXT_KEY_PERSONALITY_TRAIT_DOMESTIC_COMBAT_A_HELP","TRAITS_ATLAS",20,"PERSONALITY_TRAIT_CATEGORY_DOMESTIC",0,"PersonalityTrait_Domestic_Combat"
29,"PERSONALITY_TRAIT_DOMESTIC_TRADE_A","TXT_KEY_PERSONALITY_TRAIT_DOMESTIC_TRADE_A","TXT_KEY_PERSONALITY_TRAIT_DOMESTIC_TRADE_A_HELP","TRAITS_ATLAS",23,"PERSONALITY_TRAIT_CATEGORY_DOMESTIC",0,"PersonalityTrait_Domestic_Trade"
30,"PERSONALITY_TRAIT_DOMESTIC_COVERT_A","TXT_KEY_PERSONALITY_TRAIT_DOMESTIC_COVERT_A","TXT_KEY_PERSONALITY_TRAIT_DOMESTIC_COVERT_A_HELP","TRAITS_ATLAS",26,"PERSONALITY_TRAIT_CATEGORY_DOMESTIC",0,"PersonalityTrait_Domestic_Covert"
31,"PERSONALITY_TRAIT_DOMESTIC_ORBITAL_A","TXT_KEY_PERSONALITY_TRAIT_DOMESTIC_ORBITAL_A","TXT_KEY_PERSONALITY_TRAIT_DOMESTIC_ORBITAL_A_HELP","TRAITS_ATLAS",29,"PERSONALITY_TRAIT_CATEGORY_DOMESTIC",0,"PersonalityTrait_Domestic_Orbital"
32,"PERSONALITY_TRAIT_MILITARY_GROWTH_A","TXT_KEY_PERSONALITY_TRAIT_MILITARY_GROWTH_A","TXT_KEY_PERSONALITY_TRAIT_MILITARY_GROWTH_A_HELP","TRAITS_ATLAS",3,"PERSONALITY_TRAIT_CATEGORY_MILITARY",0,"PersonalityTrait_Military_Growth"
33,"PERSONALITY_TRAIT_MILITARY_EXPAND_A","TXT_KEY_PERSONALITY_TRAIT_MILITARY_EXPAND_A","TXT_KEY_PERSONALITY_TRAIT_MILITARY_EXPAND_A_HELP","TRAITS_ATLAS",6,"PERSONALITY_TRAIT_CATEGORY_MILITARY",0,"PersonalityTrait_Military_Expand"
34,"PERSONALITY_TRAIT_MILITARY_INDUSTRY_A","TXT_KEY_PERSONALITY_TRAIT_MILITARY_INDUSTRY_A","TXT_KEY_PERSONALITY_TRAIT_MILITARY_INDUSTRY_A_HELP","TRAITS_ATLAS",9,"PERSONALITY_TRAIT_CATEGORY_MILITARY",0,"PersonalityTrait_Military_Industry"
35,"PERSONALITY_TRAIT_MILITARY_CULTURE_A","TXT_KEY_PERSONALITY_TRAIT_MILITARY_CULTURE_A","TXT_KEY_PERSONALITY_TRAIT_MILITARY_CULTURE_A_HELP","TRAITS_ATLAS",12,"PERSONALITY_TRAIT_CATEGORY_MILITARY",0,"PersonalityTrait_Military_Culture"
36,"PERSONALITY_TRAIT_MILITARY_SCIENCE_A","TXT_KEY_PERSONALITY_TRAIT_MILITARY_SCIENCE_A","TXT_KEY_PERSONALITY_TRAIT_MILITARY_SCIENCE_A_HELP","TRAITS_ATLAS",15,"PERSONALITY_TRAIT_CATEGORY_MILITARY",0,"PersonalityTrait_Military_Science"
37,"PERSONALITY_TRAIT_MILITARY_WEALTH_A","TXT_KEY_PERSONALITY_TRAIT_MILITARY_WEALTH_A","TXT_KEY_PERSONALITY_TRAIT_MILITARY_WEALTH_A_HELP","TRAITS_ATLAS",18,"PERSONALITY_TRAIT_CATEGORY_MILITARY",0,"PersonalityTrait_Military_Wealth"
38,"PERSONALITY_TRAIT_MILITARY_COMBAT_A","TXT_KEY_PERSONALITY_TRAIT_MILITARY_COMBAT_A","TXT_KEY_PERSONALITY_TRAIT_MILITARY_COMBAT_A_HELP","TRAITS_ATLAS",21,"PERSONALITY_TRAIT_CATEGORY_MILITARY",0,"PersonalityTrait_Military_Combat"
39,"PERSONALITY_TRAIT_MILITARY_TRADE_A","TXT_KEY_PERSONALITY_TRAIT_MILITARY_TRADE_A","TXT_KEY_PERSONALITY_TRAIT_MILITARY_TRADE_A_HELP","TRAITS_ATLAS",24,"PERSONALITY_TRAIT_CATEGORY_MILITARY",0,"PersonalityTrait_Military_Trade"
40,"PERSONALITY_TRAIT_MILITARY_COVERT_A","TXT_KEY_PERSONALITY_TRAIT_MILITARY_COVERT_A","TXT_KEY_PERSONALITY_TRAIT_MILITARY_COVERT_A_HELP","TRAITS_ATLAS",27,"PERSONALITY_TRAIT_CATEGORY_MILITARY",0,"PersonalityTrait_Military_Covert"
41,"PERSONALITY_TRAIT_MILITARY_ORBITAL_A","TXT_KEY_PERSONALITY_TRAIT_MILITARY_ORBITAL_A","TXT_KEY_PERSONALITY_TRAIT_MILITARY_ORBITAL_A_HELP","TRAITS_ATLAS",22,"PERSONALITY_TRAIT_CATEGORY_MILITARY",0,"PersonalityTrait_Military_Orbital"
